,Article,Predictions,Labels,Logit_real(0),Logit_fake(1)
0,0,0,0,2.850008726119995,-3.2736902236938477
1,1,0,0,0.37796199321746826,-0.3719988465309143
2,2,0,0,2.6924424171447754,-3.0263993740081787
3,3,0,0,2.9852609634399414,-3.3401927947998047
4,4,1,1,-3.1865742206573486,3.8779709339141846
5,5,1,1,-0.31167763471603394,0.44361987709999084
6,6,0,1,0.3588881194591522,-0.2540079653263092
7,7,0,1,3.916956901550293,-4.597268581390381
8,8,0,0,1.934731364250183,-2.0337040424346924
9,9,0,0,2.6825239658355713,-2.98710036277771
10,10,0,0,3.9099483489990234,-4.566473484039307
11,11,0,0,3.1525959968566895,-3.4811224937438965
12,12,0,0,3.0261616706848145,-3.4413564205169678
13,13,0,0,3.5827066898345947,-4.13591194152832
14,14,0,0,3.302001714706421,-3.752885103225708
15,15,0,0,0.9585110545158386,-1.0261831283569336
16,16,0,0,3.839869499206543,-4.504690170288086
17,17,0,0,2.9708428382873535,-3.3438961505889893
18,18,0,0,3.9053101539611816,-4.5931596755981445
19,19,0,1,3.6977710723876953,-4.349445819854736
20,20,0,0,3.741704225540161,-4.385188579559326
21,21,0,0,3.497767686843872,-4.073032379150391
22,22,0,1,3.405294179916382,-3.961172580718994
23,23,0,0,1.3517165184020996,-1.5384490489959717
24,24,1,1,-0.5521133542060852,0.6994267106056213
25,25,0,0,2.905853271484375,-3.213237762451172
26,26,0,0,2.926107406616211,-3.439098834991455
27,27,0,1,3.3453621864318848,-3.7977840900421143
28,28,1,0,-1.27736496925354,1.5269486904144287
29,29,0,0,3.4709043502807617,-4.042294502258301
30,30,0,0,2.4106695652008057,-2.736640453338623
31,31,0,0,3.8781371116638184,-4.516456127166748
32,32,1,1,-3.7022993564605713,4.498945236206055
33,33,0,0,3.625533103942871,-4.2056193351745605
34,34,0,0,3.4989845752716064,-3.974257707595825
35,35,0,0,3.804716110229492,-4.439858436584473
36,36,0,0,3.9363648891448975,-4.603909492492676
37,37,0,0,3.903057098388672,-4.55126953125
38,38,0,1,1.4858145713806152,-1.592411756515503
39,39,0,0,3.6415677070617676,-4.221565246582031
40,40,1,0,-2.2553658485412598,2.700357437133789
41,41,0,0,3.300626277923584,-3.742809534072876
42,42,0,0,3.7705626487731934,-4.417767524719238
43,43,0,0,3.5764527320861816,-4.317156791687012
44,44,0,0,0.6973295211791992,-0.6831138730049133
45,45,0,0,2.0360655784606934,-2.2609596252441406
46,46,0,0,0.12486401945352554,-0.19946621358394623
47,47,0,0,2.4103617668151855,-2.5751631259918213
48,48,0,0,3.68986439704895,-4.2114458084106445
49,49,0,0,3.537238836288452,-4.0736403465271
50,50,0,0,3.7521862983703613,-4.309739112854004
51,51,0,0,3.8712100982666016,-4.541466236114502
52,52,0,0,3.8561184406280518,-4.505139350891113
53,53,0,0,1.9903970956802368,-2.2273473739624023
54,54,0,0,3.5781149864196777,-4.224343299865723
55,55,0,0,1.130798578262329,-1.1753854751586914
56,56,0,0,0.801854133605957,-0.8358204960823059
57,57,0,0,3.8339197635650635,-4.463705062866211
58,58,0,1,3.8519234657287598,-4.484248161315918
59,59,0,0,2.0271499156951904,-2.0197441577911377
60,60,0,1,0.2693220376968384,-0.1772780567407608
61,61,0,1,3.782069206237793,-4.385918140411377
62,62,0,0,3.8285140991210938,-4.49306583404541
63,63,0,0,3.3621835708618164,-3.7681708335876465
64,64,0,0,3.707612991333008,-4.274611473083496
65,65,0,0,0.3542415201663971,-0.3372098505496979
66,66,0,0,3.4712469577789307,-3.962344169616699
67,67,0,0,2.239567518234253,-2.5010809898376465
68,68,1,0,-0.7967096567153931,0.8783630728721619
69,69,0,0,2.1311745643615723,-2.3663220405578613
70,70,0,0,0.9113296866416931,-0.837556779384613
71,71,0,0,3.80216121673584,-4.43178653717041
72,72,0,0,1.8908190727233887,-2.251560688018799
73,73,0,0,2.8974337577819824,-3.177685022354126
74,74,0,0,3.536586284637451,-4.067489147186279
75,75,0,0,3.729461669921875,-4.339754581451416
76,76,0,0,1.24288809299469,-1.1732103824615479
77,77,0,0,3.198211193084717,-3.653806686401367
78,78,0,0,3.5804364681243896,-4.201336860656738
79,79,0,0,2.608566999435425,-2.879835605621338
80,80,0,0,2.4197030067443848,-2.6815075874328613
81,81,0,0,3.5399513244628906,-4.1239333152771
82,82,0,0,3.879446506500244,-4.507807731628418
83,83,0,0,3.7703657150268555,-4.392056465148926
84,84,1,1,-3.656795024871826,4.474933624267578
85,85,0,0,0.09309905767440796,-0.22836048901081085
86,86,0,0,3.636798143386841,-4.107605934143066
87,87,1,0,-2.4767656326293945,2.9007041454315186
88,88,0,0,3.225918769836426,-3.674471378326416
89,89,0,0,3.900542736053467,-4.599522590637207
90,90,0,0,3.9172232151031494,-4.5619797706604
91,91,1,1,-3.4110074043273926,4.046750545501709
92,92,0,0,3.906907558441162,-4.512485504150391
93,93,0,1,1.8977136611938477,-1.964824914932251
94,94,0,0,3.7598562240600586,-4.2668914794921875
95,95,1,1,-1.3882086277008057,1.6656744480133057
96,96,0,0,0.4578976333141327,-0.5639542937278748
97,97,0,0,3.4834794998168945,-3.9820220470428467
98,98,0,0,3.359480857849121,-3.957777976989746
99,99,0,0,4.001781463623047,-4.746969699859619
100,100,0,0,3.501854419708252,-4.123786449432373
101,101,0,0,3.0026230812072754,-3.310551166534424
102,102,0,0,2.782258987426758,-3.0831804275512695
103,103,0,0,3.803046226501465,-4.458341121673584
104,104,0,0,3.4957964420318604,-4.036864280700684
105,105,0,0,3.9111123085021973,-4.468930721282959
106,106,1,0,-1.326598048210144,1.6044120788574219
107,107,0,0,2.0381100177764893,-2.142211675643921
108,108,0,0,3.6400632858276367,-4.383909225463867
109,109,0,0,2.94608736038208,-3.4164175987243652
110,110,0,0,3.921046733856201,-4.591036796569824
111,111,1,1,-3.7489728927612305,4.577816009521484
112,112,1,1,-3.605806827545166,4.35017728805542
113,113,0,0,3.779114246368408,-4.411466598510742
114,114,0,0,3.1435842514038086,-3.553969383239746
115,115,0,0,3.6448562145233154,-4.240504264831543
116,116,0,0,2.013763666152954,-2.16323184967041
117,117,1,1,-1.1218109130859375,1.2924953699111938
118,118,0,0,3.1702311038970947,-3.726877450942993
119,119,0,0,3.7603163719177246,-4.433436393737793
120,120,0,0,3.8352808952331543,-4.485962867736816
121,121,0,0,2.788763999938965,-3.1580851078033447
122,122,0,0,3.335341453552246,-3.786670446395874
123,123,1,0,0.03661346808075905,0.04119109362363815
124,124,0,0,3.326610565185547,-3.7534890174865723
125,125,0,0,3.3153111934661865,-3.984801769256592
126,126,0,0,3.6329076290130615,-4.185615539550781
127,127,0,0,3.1142003536224365,-3.5187876224517822
128,128,1,1,-0.3600294589996338,0.4035688638687134
129,129,0,0,3.686491012573242,-4.281829833984375
130,130,0,0,3.755445957183838,-4.325939178466797
131,131,0,0,3.1207544803619385,-3.581749439239502
132,132,0,0,3.4122366905212402,-3.9836199283599854
133,133,0,0,3.856480598449707,-4.451062202453613
134,134,0,1,0.7808704376220703,-0.7312690615653992
135,135,0,0,3.878892183303833,-4.470688819885254
136,136,0,0,1.9241914749145508,-2.0370125770568848
