2020-11-23 15:24:04,644 - INFO - Starting Training
2020-11-23 15:24:09,450 - INFO - Loaded dataset from: train_encodings_23Nov_gcpf_distilbert.pickle
2020-11-23 15:24:09,457 - INFO - Number of records: 10986
2020-11-23 15:24:09,457 - INFO - Loading model: distilbert-base-uncased
2020-11-23 15:24:12,497 - INFO - Moving model to device
2020-11-23 15:24:12,498 - INFO - Device: cuda
2020-11-23 15:24:14,974 - INFO - Learning Rate: 5e-05
2020-11-23 15:24:14,975 - INFO - Commencing Training
2020-11-23 15:24:14,975 - INFO - Batches per Epoch: 343.3125
2020-11-23 15:24:14,975 - INFO - Total GPU memory available (MiB): 16.274294360343184
2020-11-23 15:24:14,975 - INFO - Cross Entropy Loss Weights: None
2020-11-23 15:24:14,975 - INFO - Starting Epoch 1, logging every 10 batches
2020-11-23 15:24:23,521 - INFO - Epoch: 1, Batch: 10, loss: 0.5787147879600525
2020-11-23 15:24:31,863 - INFO - Epoch: 1, Batch: 20, loss: 0.7421624064445496
2020-11-23 15:24:40,213 - INFO - Epoch: 1, Batch: 30, loss: 0.5345925092697144
2020-11-23 15:24:48,541 - INFO - Epoch: 1, Batch: 40, loss: 0.41421034932136536
2020-11-23 15:24:56,886 - INFO - Epoch: 1, Batch: 50, loss: 0.3710207939147949
2020-11-23 15:25:05,229 - INFO - Epoch: 1, Batch: 60, loss: 0.46460577845573425
2020-11-23 15:25:13,569 - INFO - Epoch: 1, Batch: 70, loss: 0.3256342113018036
2020-11-23 15:25:21,916 - INFO - Epoch: 1, Batch: 80, loss: 0.48572880029678345
2020-11-23 15:25:30,259 - INFO - Epoch: 1, Batch: 90, loss: 0.350862979888916
2020-11-23 15:25:38,598 - INFO - Epoch: 1, Batch: 100, loss: 0.3805696964263916
2020-11-23 15:25:46,944 - INFO - Epoch: 1, Batch: 110, loss: 0.4473813474178314
2020-11-23 15:25:55,296 - INFO - Epoch: 1, Batch: 120, loss: 0.5787383913993835
2020-11-23 15:26:03,621 - INFO - Epoch: 1, Batch: 130, loss: 0.28448089957237244
2020-11-23 15:26:11,975 - INFO - Epoch: 1, Batch: 140, loss: 0.3106176257133484
2020-11-23 15:26:20,305 - INFO - Epoch: 1, Batch: 150, loss: 0.2968777120113373
2020-11-23 15:26:28,633 - INFO - Epoch: 1, Batch: 160, loss: 0.4623814821243286
2020-11-23 15:26:36,980 - INFO - Epoch: 1, Batch: 170, loss: 0.4544336497783661
2020-11-23 15:26:45,315 - INFO - Epoch: 1, Batch: 180, loss: 0.420583575963974
2020-11-23 15:26:53,670 - INFO - Epoch: 1, Batch: 190, loss: 0.22362327575683594
2020-11-23 15:27:02,014 - INFO - Epoch: 1, Batch: 200, loss: 0.3245232403278351
2020-11-23 15:27:10,370 - INFO - Epoch: 1, Batch: 210, loss: 0.32332175970077515
2020-11-23 15:27:18,708 - INFO - Epoch: 1, Batch: 220, loss: 0.41648030281066895
2020-11-23 15:27:27,051 - INFO - Epoch: 1, Batch: 230, loss: 0.44588178396224976
2020-11-23 15:27:35,397 - INFO - Epoch: 1, Batch: 240, loss: 0.3077496886253357
2020-11-23 15:27:43,739 - INFO - Epoch: 1, Batch: 250, loss: 0.3665950298309326
2020-11-23 15:27:52,065 - INFO - Epoch: 1, Batch: 260, loss: 0.5065836310386658
2020-11-23 15:28:00,403 - INFO - Epoch: 1, Batch: 270, loss: 0.31218424439430237
2020-11-23 15:28:08,761 - INFO - Epoch: 1, Batch: 280, loss: 0.4681892693042755
2020-11-23 15:28:17,114 - INFO - Epoch: 1, Batch: 290, loss: 0.2977045178413391
2020-11-23 15:28:25,446 - INFO - Epoch: 1, Batch: 300, loss: 0.6268601417541504
2020-11-23 15:28:33,789 - INFO - Epoch: 1, Batch: 310, loss: 0.2866821885108948
2020-11-23 15:28:42,148 - INFO - Epoch: 1, Batch: 320, loss: 0.3973437547683716
2020-11-23 15:28:50,490 - INFO - Epoch: 1, Batch: 330, loss: 0.35948190093040466
2020-11-23 15:28:58,825 - INFO - Epoch: 1, Batch: 340, loss: 0.3329986035823822
2020-11-23 15:29:01,623 - INFO - Completed 1 epochs.
2020-11-23 15:29:04,236 - INFO - Saved model in file saved_model_epoch1_20201123_1524.tar
2020-11-23 15:29:04,236 - INFO - Starting Epoch 2, logging every 10 batches
2020-11-23 15:29:12,592 - INFO - Epoch: 2, Batch: 10, loss: 0.7527790069580078
2020-11-23 15:29:20,938 - INFO - Epoch: 2, Batch: 20, loss: 0.4017084836959839
2020-11-23 15:29:29,280 - INFO - Epoch: 2, Batch: 30, loss: 0.34642934799194336
2020-11-23 15:29:37,626 - INFO - Epoch: 2, Batch: 40, loss: 0.17415688931941986
2020-11-23 15:29:45,970 - INFO - Epoch: 2, Batch: 50, loss: 0.29087355732917786
2020-11-23 15:29:54,314 - INFO - Epoch: 2, Batch: 60, loss: 0.20258109271526337
2020-11-23 15:30:02,640 - INFO - Epoch: 2, Batch: 70, loss: 0.33929765224456787
2020-11-23 15:30:10,994 - INFO - Epoch: 2, Batch: 80, loss: 0.5973135828971863
2020-11-23 15:30:19,351 - INFO - Epoch: 2, Batch: 90, loss: 0.44902849197387695
2020-11-23 15:30:27,704 - INFO - Epoch: 2, Batch: 100, loss: 0.28616857528686523
2020-11-23 15:30:36,051 - INFO - Epoch: 2, Batch: 110, loss: 0.20468011498451233
2020-11-23 15:30:44,397 - INFO - Epoch: 2, Batch: 120, loss: 0.2965090274810791
2020-11-23 15:30:52,749 - INFO - Epoch: 2, Batch: 130, loss: 0.2786904573440552
2020-11-23 15:31:01,109 - INFO - Epoch: 2, Batch: 140, loss: 0.22966529428958893
2020-11-23 15:31:09,448 - INFO - Epoch: 2, Batch: 150, loss: 0.40455546975135803
2020-11-23 15:31:17,784 - INFO - Epoch: 2, Batch: 160, loss: 0.2558654546737671
2020-11-23 15:31:26,125 - INFO - Epoch: 2, Batch: 170, loss: 0.28369390964508057
2020-11-23 15:31:34,463 - INFO - Epoch: 2, Batch: 180, loss: 0.38151130080223083
2020-11-23 15:31:42,792 - INFO - Epoch: 2, Batch: 190, loss: 0.3322378695011139
2020-11-23 15:31:51,133 - INFO - Epoch: 2, Batch: 200, loss: 0.3224043846130371
2020-11-23 15:31:59,480 - INFO - Epoch: 2, Batch: 210, loss: 0.26105162501335144
2020-11-23 15:32:07,824 - INFO - Epoch: 2, Batch: 220, loss: 0.19186577200889587
2020-11-23 15:32:16,154 - INFO - Epoch: 2, Batch: 230, loss: 0.3815295100212097
2020-11-23 15:32:24,495 - INFO - Epoch: 2, Batch: 240, loss: 0.36046984791755676
2020-11-23 15:32:32,841 - INFO - Epoch: 2, Batch: 250, loss: 0.4955635964870453
2020-11-23 15:32:41,168 - INFO - Epoch: 2, Batch: 260, loss: 0.2589167356491089
2020-11-23 15:32:49,505 - INFO - Epoch: 2, Batch: 270, loss: 0.4287112355232239
2020-11-23 15:32:57,855 - INFO - Epoch: 2, Batch: 280, loss: 0.2813301384449005
2020-11-23 15:33:06,188 - INFO - Epoch: 2, Batch: 290, loss: 0.2441595494747162
2020-11-23 15:33:14,526 - INFO - Epoch: 2, Batch: 300, loss: 0.20694482326507568
2020-11-23 15:33:22,868 - INFO - Epoch: 2, Batch: 310, loss: 0.18467190861701965
2020-11-23 15:33:31,206 - INFO - Epoch: 2, Batch: 320, loss: 0.1442396193742752
2020-11-23 15:33:39,539 - INFO - Epoch: 2, Batch: 330, loss: 0.3930360972881317
2020-11-23 15:33:47,875 - INFO - Epoch: 2, Batch: 340, loss: 0.2175430804491043
2020-11-23 15:33:50,670 - INFO - Completed 2 epochs.
2020-11-23 15:33:53,264 - INFO - Saved model in file saved_model_epoch2_20201123_1524.tar
2020-11-23 15:33:53,264 - INFO - Starting Epoch 3, logging every 10 batches
2020-11-23 15:34:01,603 - INFO - Epoch: 3, Batch: 10, loss: 0.17113685607910156
2020-11-23 15:34:09,951 - INFO - Epoch: 3, Batch: 20, loss: 0.12906882166862488
2020-11-23 15:34:18,287 - INFO - Epoch: 3, Batch: 30, loss: 0.12291061133146286
2020-11-23 15:34:26,638 - INFO - Epoch: 3, Batch: 40, loss: 0.09703116118907928
2020-11-23 15:34:34,976 - INFO - Epoch: 3, Batch: 50, loss: 0.09028387069702148
2020-11-23 15:34:43,327 - INFO - Epoch: 3, Batch: 60, loss: 0.09650962054729462
2020-11-23 15:34:51,660 - INFO - Epoch: 3, Batch: 70, loss: 0.21944069862365723
2020-11-23 15:35:00,006 - INFO - Epoch: 3, Batch: 80, loss: 0.23795919120311737
2020-11-23 15:35:08,344 - INFO - Epoch: 3, Batch: 90, loss: 0.29249483346939087
2020-11-23 15:35:16,688 - INFO - Epoch: 3, Batch: 100, loss: 0.11007565259933472
2020-11-23 15:35:25,024 - INFO - Epoch: 3, Batch: 110, loss: 0.2368904948234558
2020-11-23 15:35:33,362 - INFO - Epoch: 3, Batch: 120, loss: 0.12085917592048645
2020-11-23 15:35:41,704 - INFO - Epoch: 3, Batch: 130, loss: 0.25481337308883667
2020-11-23 15:35:50,054 - INFO - Epoch: 3, Batch: 140, loss: 0.16972745954990387
2020-11-23 15:35:58,390 - INFO - Epoch: 3, Batch: 150, loss: 0.07879544794559479
2020-11-23 15:36:06,744 - INFO - Epoch: 3, Batch: 160, loss: 0.1104019358754158
2020-11-23 15:36:15,081 - INFO - Epoch: 3, Batch: 170, loss: 0.5907634496688843
2020-11-23 15:36:23,424 - INFO - Epoch: 3, Batch: 180, loss: 0.2024097740650177
2020-11-23 15:36:31,771 - INFO - Epoch: 3, Batch: 190, loss: 0.07573569566011429
2020-11-23 15:36:40,110 - INFO - Epoch: 3, Batch: 200, loss: 0.2052290141582489
2020-11-23 15:36:48,456 - INFO - Epoch: 3, Batch: 210, loss: 0.08104805648326874
2020-11-23 15:36:56,783 - INFO - Epoch: 3, Batch: 220, loss: 0.09781797975301743
2020-11-23 15:37:05,136 - INFO - Epoch: 3, Batch: 230, loss: 0.3826950788497925
2020-11-23 15:37:13,480 - INFO - Epoch: 3, Batch: 240, loss: 0.18048250675201416
2020-11-23 15:37:21,826 - INFO - Epoch: 3, Batch: 250, loss: 0.16038544476032257
2020-11-23 15:37:30,176 - INFO - Epoch: 3, Batch: 260, loss: 0.25796961784362793
2020-11-23 15:37:38,511 - INFO - Epoch: 3, Batch: 270, loss: 0.08888231217861176
2020-11-23 15:37:46,839 - INFO - Epoch: 3, Batch: 280, loss: 0.243183895945549
2020-11-23 15:37:55,175 - INFO - Epoch: 3, Batch: 290, loss: 0.26368024945259094
2020-11-23 15:38:03,510 - INFO - Epoch: 3, Batch: 300, loss: 0.6140596866607666
2020-11-23 15:38:11,841 - INFO - Epoch: 3, Batch: 310, loss: 0.20236177742481232
2020-11-23 15:38:20,185 - INFO - Epoch: 3, Batch: 320, loss: 0.08372551947832108
2020-11-23 15:38:28,538 - INFO - Epoch: 3, Batch: 330, loss: 0.20774774253368378
2020-11-23 15:38:36,865 - INFO - Epoch: 3, Batch: 340, loss: 0.21043087542057037
2020-11-23 15:38:39,658 - INFO - Completed 3 epochs.
2020-11-23 15:38:42,254 - INFO - Saved model in file saved_model_epoch3_20201123_1524.tar
2020-11-23 15:38:42,255 - INFO - Starting Epoch 4, logging every 10 batches
2020-11-23 15:38:50,606 - INFO - Epoch: 4, Batch: 10, loss: 0.16486577689647675
2020-11-23 15:38:58,931 - INFO - Epoch: 4, Batch: 20, loss: 0.14998172223567963
2020-11-23 15:39:07,273 - INFO - Epoch: 4, Batch: 30, loss: 0.01909382827579975
2020-11-23 15:39:15,626 - INFO - Epoch: 4, Batch: 40, loss: 0.02150861732661724
2020-11-23 15:39:23,966 - INFO - Epoch: 4, Batch: 50, loss: 0.10744836181402206
2020-11-23 15:39:32,296 - INFO - Epoch: 4, Batch: 60, loss: 0.07854019105434418
2020-11-23 15:39:40,649 - INFO - Epoch: 4, Batch: 70, loss: 0.26789113879203796
2020-11-23 15:39:48,987 - INFO - Epoch: 4, Batch: 80, loss: 0.25402313470840454
2020-11-23 15:39:57,331 - INFO - Epoch: 4, Batch: 90, loss: 0.06647931039333344
2020-11-23 15:40:05,673 - INFO - Epoch: 4, Batch: 100, loss: 0.04617005214095116
2020-11-23 15:40:14,019 - INFO - Epoch: 4, Batch: 110, loss: 0.10499192774295807
2020-11-23 15:40:22,356 - INFO - Epoch: 4, Batch: 120, loss: 0.24468480050563812
2020-11-23 15:40:30,705 - INFO - Epoch: 4, Batch: 130, loss: 0.03964874520897865
2020-11-23 15:40:39,048 - INFO - Epoch: 4, Batch: 140, loss: 0.24740569293498993
2020-11-23 15:40:47,401 - INFO - Epoch: 4, Batch: 150, loss: 0.15422631800174713
2020-11-23 15:40:55,761 - INFO - Epoch: 4, Batch: 160, loss: 0.06690643727779388
2020-11-23 15:41:04,111 - INFO - Epoch: 4, Batch: 170, loss: 0.19252975285053253
2020-11-23 15:41:12,455 - INFO - Epoch: 4, Batch: 180, loss: 0.034481827169656754
2020-11-23 15:41:20,788 - INFO - Epoch: 4, Batch: 190, loss: 0.07053346931934357
2020-11-23 15:41:29,134 - INFO - Epoch: 4, Batch: 200, loss: 0.1325877606868744
2020-11-23 15:41:37,468 - INFO - Epoch: 4, Batch: 210, loss: 0.40585848689079285
2020-11-23 15:41:45,814 - INFO - Epoch: 4, Batch: 220, loss: 0.11465064436197281
2020-11-23 15:41:54,159 - INFO - Epoch: 4, Batch: 230, loss: 0.02044324390590191
2020-11-23 15:42:02,500 - INFO - Epoch: 4, Batch: 240, loss: 0.09545218199491501
2020-11-23 15:42:10,838 - INFO - Epoch: 4, Batch: 250, loss: 0.12534967064857483
2020-11-23 15:42:19,176 - INFO - Epoch: 4, Batch: 260, loss: 0.18291731178760529
2020-11-23 15:42:27,522 - INFO - Epoch: 4, Batch: 270, loss: 0.06594149023294449
2020-11-23 15:42:35,857 - INFO - Epoch: 4, Batch: 280, loss: 0.11716421693563461
2020-11-23 15:42:44,202 - INFO - Epoch: 4, Batch: 290, loss: 0.11403120309114456
2020-11-23 15:42:52,562 - INFO - Epoch: 4, Batch: 300, loss: 0.06558744609355927
2020-11-23 15:43:00,907 - INFO - Epoch: 4, Batch: 310, loss: 0.07903290539979935
2020-11-23 15:43:09,244 - INFO - Epoch: 4, Batch: 320, loss: 0.03337084501981735
2020-11-23 15:43:17,590 - INFO - Epoch: 4, Batch: 330, loss: 0.04744034633040428
2020-11-23 15:43:25,938 - INFO - Epoch: 4, Batch: 340, loss: 0.3280523717403412
2020-11-23 15:43:28,735 - INFO - Completed 4 epochs.
2020-11-23 15:43:31,350 - INFO - Saved model in file saved_model_epoch4_20201123_1524.tar
2020-11-23 15:43:31,350 - INFO - Starting Epoch 5, logging every 10 batches
2020-11-23 15:43:39,690 - INFO - Epoch: 5, Batch: 10, loss: 0.06148913875222206
2020-11-23 15:43:48,026 - INFO - Epoch: 5, Batch: 20, loss: 0.04221532866358757
2020-11-23 15:43:56,365 - INFO - Epoch: 5, Batch: 30, loss: 0.025315571576356888
2020-11-23 15:44:04,706 - INFO - Epoch: 5, Batch: 40, loss: 0.012531598098576069
2020-11-23 15:44:13,036 - INFO - Epoch: 5, Batch: 50, loss: 0.04368830844759941
2020-11-23 15:44:21,372 - INFO - Epoch: 5, Batch: 60, loss: 0.04674798995256424
2020-11-23 15:44:29,708 - INFO - Epoch: 5, Batch: 70, loss: 0.1309024542570114
2020-11-23 15:44:38,041 - INFO - Epoch: 5, Batch: 80, loss: 0.08592704683542252
2020-11-23 15:44:46,377 - INFO - Epoch: 5, Batch: 90, loss: 0.013481328263878822
2020-11-23 15:44:54,741 - INFO - Epoch: 5, Batch: 100, loss: 0.01563907600939274
2020-11-23 15:45:03,081 - INFO - Epoch: 5, Batch: 110, loss: 0.06642307341098785
2020-11-23 15:45:11,424 - INFO - Epoch: 5, Batch: 120, loss: 0.04733042046427727
2020-11-23 15:45:19,762 - INFO - Epoch: 5, Batch: 130, loss: 0.0031131773721426725
2020-11-23 15:45:28,112 - INFO - Epoch: 5, Batch: 140, loss: 0.239082470536232
2020-11-23 15:45:36,460 - INFO - Epoch: 5, Batch: 150, loss: 0.09057203680276871
2020-11-23 15:45:44,795 - INFO - Epoch: 5, Batch: 160, loss: 0.09667688608169556
2020-11-23 15:45:53,125 - INFO - Epoch: 5, Batch: 170, loss: 0.01602313481271267
2020-11-23 15:46:01,467 - INFO - Epoch: 5, Batch: 180, loss: 0.06514335423707962
2020-11-23 15:46:09,804 - INFO - Epoch: 5, Batch: 190, loss: 0.06414354592561722
2020-11-23 15:46:18,143 - INFO - Epoch: 5, Batch: 200, loss: 0.02451770380139351
2020-11-23 15:46:26,495 - INFO - Epoch: 5, Batch: 210, loss: 0.006243196781724691
2020-11-23 15:46:34,834 - INFO - Epoch: 5, Batch: 220, loss: 0.01226733811199665
2020-11-23 15:46:43,178 - INFO - Epoch: 5, Batch: 230, loss: 0.11512107402086258
2020-11-23 15:46:51,524 - INFO - Epoch: 5, Batch: 240, loss: 0.030125558376312256
2020-11-23 15:46:59,874 - INFO - Epoch: 5, Batch: 250, loss: 0.026744015514850616
2020-11-23 15:47:08,210 - INFO - Epoch: 5, Batch: 260, loss: 0.030265528708696365
2020-11-23 15:47:16,538 - INFO - Epoch: 5, Batch: 270, loss: 0.11808944493532181
2020-11-23 15:47:24,882 - INFO - Epoch: 5, Batch: 280, loss: 0.10228827595710754
2020-11-23 15:47:33,218 - INFO - Epoch: 5, Batch: 290, loss: 0.010364850983023643
2020-11-23 15:47:41,570 - INFO - Epoch: 5, Batch: 300, loss: 0.008537184447050095
