2020-11-26 19:03:53,697 - INFO - Starting Training
2020-11-26 19:03:58,654 - INFO - Loaded dataset from: train_dataset_25Nov_source_distilbert.pickle
2020-11-26 19:03:58,661 - INFO - Number of records: 10986
2020-11-26 19:03:58,661 - INFO - Loading model: distilbert-base-uncased
2020-11-26 19:04:01,146 - INFO - Moving model to device
2020-11-26 19:04:01,147 - INFO - Device: cuda
2020-11-26 19:04:03,526 - INFO - Learning Rate: 5e-05
2020-11-26 19:04:03,527 - INFO - Commencing Training
2020-11-26 19:04:03,527 - INFO - Batches per Epoch: 343.3125
2020-11-26 19:04:03,527 - INFO - Total GPU memory available (MiB): 16.274294360343184
2020-11-26 19:04:03,527 - INFO - Cross Entropy Loss Weights: [1, 4]
2020-11-26 19:04:03,528 - INFO - Starting Epoch 1, logging every 10 batches
2020-11-26 19:04:12,088 - INFO - Epoch: 1, Batch: 10, mean_loss: 0.44081446528434753
2020-11-26 19:04:20,464 - INFO - Epoch: 1, Batch: 20, mean_loss: 0.3207099139690399
2020-11-26 19:04:28,848 - INFO - Epoch: 1, Batch: 30, mean_loss: 0.1489017754793167
2020-11-26 19:04:37,222 - INFO - Epoch: 1, Batch: 40, mean_loss: 0.1731104701757431
2020-11-26 19:04:45,617 - INFO - Epoch: 1, Batch: 50, mean_loss: 0.10722693055868149
2020-11-26 19:04:54,011 - INFO - Epoch: 1, Batch: 60, mean_loss: 0.1965685933828354
2020-11-26 19:05:02,388 - INFO - Epoch: 1, Batch: 70, mean_loss: 0.1480683535337448
2020-11-26 19:05:10,762 - INFO - Epoch: 1, Batch: 80, mean_loss: 0.07754871994256973
2020-11-26 19:05:19,140 - INFO - Epoch: 1, Batch: 90, mean_loss: 0.11819189041852951
2020-11-26 19:05:27,513 - INFO - Epoch: 1, Batch: 100, mean_loss: 0.04393283650279045
2020-11-26 19:05:35,895 - INFO - Epoch: 1, Batch: 110, mean_loss: 0.10851044952869415
2020-11-26 19:05:44,286 - INFO - Epoch: 1, Batch: 120, mean_loss: 0.0856420174241066
2020-11-26 19:05:52,654 - INFO - Epoch: 1, Batch: 130, mean_loss: 0.03392180800437927
2020-11-26 19:06:01,030 - INFO - Epoch: 1, Batch: 140, mean_loss: 0.018334010615944862
2020-11-26 19:06:09,406 - INFO - Epoch: 1, Batch: 150, mean_loss: 0.10569336265325546
2020-11-26 19:06:17,768 - INFO - Epoch: 1, Batch: 160, mean_loss: 0.14270976185798645
2020-11-26 19:06:26,153 - INFO - Epoch: 1, Batch: 170, mean_loss: 0.057097505778074265
2020-11-26 19:06:34,521 - INFO - Epoch: 1, Batch: 180, mean_loss: 0.13667242228984833
2020-11-26 19:06:42,896 - INFO - Epoch: 1, Batch: 190, mean_loss: 0.11459429562091827
2020-11-26 19:06:51,268 - INFO - Epoch: 1, Batch: 200, mean_loss: 0.03412109240889549
2020-11-26 19:06:59,656 - INFO - Epoch: 1, Batch: 210, mean_loss: 0.019916057586669922
2020-11-26 19:07:08,039 - INFO - Epoch: 1, Batch: 220, mean_loss: 0.15979239344596863
2020-11-26 19:07:16,415 - INFO - Epoch: 1, Batch: 230, mean_loss: 0.0755312517285347
2020-11-26 19:07:24,792 - INFO - Epoch: 1, Batch: 240, mean_loss: 0.12421222031116486
2020-11-26 19:07:33,158 - INFO - Epoch: 1, Batch: 250, mean_loss: 0.05459180101752281
2020-11-26 19:07:41,529 - INFO - Epoch: 1, Batch: 260, mean_loss: 0.06156355142593384
2020-11-26 19:07:49,918 - INFO - Epoch: 1, Batch: 270, mean_loss: 0.125799760222435
