2020-11-26 04:39:51,722 - INFO - Starting Training
2020-11-26 04:39:56,700 - INFO - Loaded dataset from: train_dataset_25Nov_gcpf_distilbert.pickle
2020-11-26 04:39:56,707 - INFO - Number of records: 10986
2020-11-26 04:39:56,707 - INFO - Loading model: distilbert-base-uncased
2020-11-26 04:39:59,326 - INFO - Moving model to device
2020-11-26 04:39:59,327 - INFO - Device: cuda
2020-11-26 04:40:01,604 - INFO - Learning Rate: 5e-05
2020-11-26 04:40:01,605 - INFO - Commencing Training
2020-11-26 04:40:01,605 - INFO - Batches per Epoch: 343.3125
2020-11-26 04:40:01,605 - INFO - Total GPU memory available (MiB): 16.274294360343184
2020-11-26 04:40:01,605 - INFO - Cross Entropy Loss Weights: None
2020-11-26 04:40:01,605 - INFO - Starting Epoch 1, logging every 10 batches
2020-11-26 04:40:14,209 - INFO - Epoch: 1, Batch: 10, loss: 0.5899247527122498
2020-11-26 04:40:22,598 - INFO - Epoch: 1, Batch: 20, loss: 0.5082139372825623
2020-11-26 04:40:30,978 - INFO - Epoch: 1, Batch: 30, loss: 0.51021409034729
2020-11-26 04:40:39,343 - INFO - Epoch: 1, Batch: 40, loss: 0.3486088514328003
2020-11-26 04:40:47,736 - INFO - Epoch: 1, Batch: 50, loss: 0.43910932540893555
2020-11-26 04:40:56,115 - INFO - Epoch: 1, Batch: 60, loss: 0.6844937205314636
2020-11-26 04:41:04,488 - INFO - Epoch: 1, Batch: 70, loss: 0.3773372769355774
2020-11-26 04:41:12,874 - INFO - Epoch: 1, Batch: 80, loss: 0.3895632028579712
2020-11-26 04:41:21,260 - INFO - Epoch: 1, Batch: 90, loss: 0.5588566064834595
2020-11-26 04:41:29,646 - INFO - Epoch: 1, Batch: 100, loss: 0.3953876197338104
2020-11-26 04:41:38,032 - INFO - Epoch: 1, Batch: 110, loss: 0.3706315755844116
2020-11-26 04:41:46,437 - INFO - Epoch: 1, Batch: 120, loss: 0.3358180522918701
2020-11-26 04:41:54,807 - INFO - Epoch: 1, Batch: 130, loss: 0.4363356828689575
2020-11-26 04:42:03,200 - INFO - Epoch: 1, Batch: 140, loss: 0.5560281276702881
2020-11-26 04:42:11,601 - INFO - Epoch: 1, Batch: 150, loss: 0.20815299451351166
2020-11-26 04:42:19,983 - INFO - Epoch: 1, Batch: 160, loss: 0.3036614656448364
2020-11-26 04:42:28,366 - INFO - Epoch: 1, Batch: 170, loss: 0.37219730019569397
2020-11-26 04:42:36,727 - INFO - Epoch: 1, Batch: 180, loss: 0.319688618183136
2020-11-26 04:42:45,109 - INFO - Epoch: 1, Batch: 190, loss: 0.40119343996047974
2020-11-26 04:42:53,503 - INFO - Epoch: 1, Batch: 200, loss: 0.3333803415298462
2020-11-26 04:43:01,864 - INFO - Epoch: 1, Batch: 210, loss: 0.221290722489357
2020-11-26 04:43:10,229 - INFO - Epoch: 1, Batch: 220, loss: 0.5605661869049072
2020-11-26 04:43:18,636 - INFO - Epoch: 1, Batch: 230, loss: 0.4403371214866638
2020-11-26 04:43:27,011 - INFO - Epoch: 1, Batch: 240, loss: 0.29266461730003357
2020-11-26 04:43:35,384 - INFO - Epoch: 1, Batch: 250, loss: 0.2863793671131134
2020-11-26 04:43:43,737 - INFO - Epoch: 1, Batch: 260, loss: 0.18672646582126617
2020-11-26 04:43:52,111 - INFO - Epoch: 1, Batch: 270, loss: 0.2703963816165924
2020-11-26 04:44:00,493 - INFO - Epoch: 1, Batch: 280, loss: 0.4323965907096863
2020-11-26 04:44:08,890 - INFO - Epoch: 1, Batch: 290, loss: 0.20039789378643036
2020-11-26 04:44:17,301 - INFO - Epoch: 1, Batch: 300, loss: 0.3604849874973297
2020-11-26 04:44:25,670 - INFO - Epoch: 1, Batch: 310, loss: 0.3601253628730774
2020-11-26 04:44:34,044 - INFO - Epoch: 1, Batch: 320, loss: 0.43803858757019043
2020-11-26 04:44:42,413 - INFO - Epoch: 1, Batch: 330, loss: 0.10300368815660477
2020-11-26 04:44:50,790 - INFO - Epoch: 1, Batch: 340, loss: 0.42971065640449524
2020-11-26 04:44:53,588 - INFO - Completed 1 epochs.
2020-11-26 04:44:55,291 - INFO - Saved model in file saved_model_epoch1_20201126_0440.tar
2020-11-26 04:44:55,291 - INFO - Starting Epoch 2, logging every 10 batches
2020-11-26 04:45:03,670 - INFO - Epoch: 2, Batch: 10, loss: 0.41118323802948
2020-11-26 04:45:12,061 - INFO - Epoch: 2, Batch: 20, loss: 0.2767341136932373
2020-11-26 04:45:20,426 - INFO - Epoch: 2, Batch: 30, loss: 0.35506588220596313
2020-11-26 04:45:28,805 - INFO - Epoch: 2, Batch: 40, loss: 0.20057573914527893
2020-11-26 04:45:37,178 - INFO - Epoch: 2, Batch: 50, loss: 0.22772344946861267
2020-11-26 04:45:45,551 - INFO - Epoch: 2, Batch: 60, loss: 0.11203239113092422
2020-11-26 04:45:53,927 - INFO - Epoch: 2, Batch: 70, loss: 0.23794430494308472
2020-11-26 04:46:02,294 - INFO - Epoch: 2, Batch: 80, loss: 0.45687809586524963
2020-11-26 04:46:10,658 - INFO - Epoch: 2, Batch: 90, loss: 0.27677467465400696
2020-11-26 04:46:19,028 - INFO - Epoch: 2, Batch: 100, loss: 0.2851896584033966
2020-11-26 04:46:27,419 - INFO - Epoch: 2, Batch: 110, loss: 0.20528081059455872
2020-11-26 04:46:35,803 - INFO - Epoch: 2, Batch: 120, loss: 0.37913545966148376
2020-11-26 04:46:44,183 - INFO - Epoch: 2, Batch: 130, loss: 0.24247175455093384
2020-11-26 04:46:52,547 - INFO - Epoch: 2, Batch: 140, loss: 0.24669548869132996
2020-11-26 04:47:00,912 - INFO - Epoch: 2, Batch: 150, loss: 0.24659860134124756
2020-11-26 04:47:09,291 - INFO - Epoch: 2, Batch: 160, loss: 0.1362508237361908
2020-11-26 04:47:17,656 - INFO - Epoch: 2, Batch: 170, loss: 0.16969914734363556
2020-11-26 04:47:26,001 - INFO - Epoch: 2, Batch: 180, loss: 0.33308523893356323
2020-11-26 04:47:34,368 - INFO - Epoch: 2, Batch: 190, loss: 0.26863351464271545
2020-11-26 04:47:42,748 - INFO - Epoch: 2, Batch: 200, loss: 0.418343186378479
2020-11-26 04:47:51,098 - INFO - Epoch: 2, Batch: 210, loss: 0.5363855361938477
2020-11-26 04:47:59,456 - INFO - Epoch: 2, Batch: 220, loss: 0.15948407351970673
2020-11-26 04:48:07,823 - INFO - Epoch: 2, Batch: 230, loss: 0.17558416724205017
2020-11-26 04:48:16,213 - INFO - Epoch: 2, Batch: 240, loss: 0.1976083517074585
2020-11-26 04:48:24,590 - INFO - Epoch: 2, Batch: 250, loss: 0.6091920137405396
2020-11-26 04:48:32,979 - INFO - Epoch: 2, Batch: 260, loss: 0.29666996002197266
2020-11-26 04:48:41,372 - INFO - Epoch: 2, Batch: 270, loss: 0.3896160125732422
