2020-11-27 19:12:30,335 - INFO - Starting Training
2020-11-27 19:12:30,988 - INFO - Loaded dataset from: train_data_27Nov_gc_roberta.pickle
2020-11-27 19:12:30,988 - INFO - Number of records: 10583
2020-11-27 19:12:30,988 - INFO - Loading model: roberta-base
2020-11-27 19:12:36,495 - INFO - Moving model to device
2020-11-27 19:12:36,496 - INFO - Device: cuda
2020-11-27 19:12:39,159 - INFO - Learning Rate: 5e-05
2020-11-27 19:12:39,160 - INFO - Commencing Training
2020-11-27 19:12:39,161 - INFO - Batches per Epoch: 661.4375
2020-11-27 19:12:39,161 - INFO - Total GPU memory available (MiB): 16.274294360343184
2020-11-27 19:12:39,161 - INFO - Cross Entropy Loss Weights: [1, 4]
2020-11-27 19:12:39,161 - INFO - Starting Epoch 1, logging every 10 batches
2020-11-27 19:12:47,920 - INFO - Epoch: 1, Batch: 10, mean_loss: 0.7059876918792725
2020-11-27 19:12:56,516 - INFO - Epoch: 1, Batch: 20, mean_loss: 0.6955292224884033
2020-11-27 19:13:05,153 - INFO - Epoch: 1, Batch: 30, mean_loss: 0.6916553378105164
2020-11-27 19:13:13,731 - INFO - Epoch: 1, Batch: 40, mean_loss: 0.6644689440727234
2020-11-27 19:13:22,354 - INFO - Epoch: 1, Batch: 50, mean_loss: 0.6436732411384583
2020-11-27 19:13:30,956 - INFO - Epoch: 1, Batch: 60, mean_loss: 0.6270191073417664
2020-11-27 19:13:39,554 - INFO - Epoch: 1, Batch: 70, mean_loss: 0.5673585534095764
2020-11-27 19:13:48,165 - INFO - Epoch: 1, Batch: 80, mean_loss: 0.6072353720664978
2020-11-27 19:13:56,767 - INFO - Epoch: 1, Batch: 90, mean_loss: 0.5834445357322693
2020-11-27 19:14:05,344 - INFO - Epoch: 1, Batch: 100, mean_loss: 0.4718197286128998
2020-11-27 19:14:13,991 - INFO - Epoch: 1, Batch: 110, mean_loss: 0.6329330801963806
2020-11-27 19:14:22,591 - INFO - Epoch: 1, Batch: 120, mean_loss: 0.5155975818634033
2020-11-27 19:14:31,206 - INFO - Epoch: 1, Batch: 130, mean_loss: 0.499484121799469
2020-11-27 19:14:39,795 - INFO - Epoch: 1, Batch: 140, mean_loss: 0.4480839669704437
2020-11-27 19:14:48,444 - INFO - Epoch: 1, Batch: 150, mean_loss: 0.5001369118690491
2020-11-27 19:14:57,082 - INFO - Epoch: 1, Batch: 160, mean_loss: 0.7107006907463074
2020-11-27 19:15:05,697 - INFO - Epoch: 1, Batch: 170, mean_loss: 0.562960147857666
2020-11-27 19:15:14,330 - INFO - Epoch: 1, Batch: 180, mean_loss: 0.5174912810325623
2020-11-27 19:15:22,991 - INFO - Epoch: 1, Batch: 190, mean_loss: 0.4951353967189789
2020-11-27 19:15:31,581 - INFO - Epoch: 1, Batch: 200, mean_loss: 0.49303779006004333
2020-11-27 19:15:40,163 - INFO - Epoch: 1, Batch: 210, mean_loss: 0.5655763745307922
2020-11-27 19:15:48,771 - INFO - Epoch: 1, Batch: 220, mean_loss: 0.4997885227203369
2020-11-27 19:15:57,399 - INFO - Epoch: 1, Batch: 230, mean_loss: 0.5483361482620239
2020-11-27 19:16:06,021 - INFO - Epoch: 1, Batch: 240, mean_loss: 0.5288859605789185
2020-11-27 19:16:14,640 - INFO - Epoch: 1, Batch: 250, mean_loss: 0.46821022033691406
2020-11-27 19:16:23,264 - INFO - Epoch: 1, Batch: 260, mean_loss: 0.4366861879825592
2020-11-27 19:16:31,871 - INFO - Epoch: 1, Batch: 270, mean_loss: 0.4375303387641907
2020-11-27 19:16:40,463 - INFO - Epoch: 1, Batch: 280, mean_loss: 0.5097319483757019
2020-11-27 19:16:49,062 - INFO - Epoch: 1, Batch: 290, mean_loss: 0.46580085158348083
2020-11-27 19:16:57,682 - INFO - Epoch: 1, Batch: 300, mean_loss: 0.3697455823421478
2020-11-27 19:17:06,284 - INFO - Epoch: 1, Batch: 310, mean_loss: 0.4798976480960846
